Jaren 20e en 21e eeuw - Gemiddelde temperatuur per maand en jaar - De Bilt in Nederland;;;;;;;;;;;;;
;jan;feb;mrt;apr;mei;jun;jul;aug;sep;okt;nov;dec;Jaar
2019;3,5;6,1;8;10,9;11,7;18,1;18,8;18,4;14,5;11,6;6,4;6,2;11.7
2018;5,6;0,7;4,7;12,2;16,4;17,9;20,7;18,5;14,7;11,9;6,8;6,1;11,4
2017;1,6;5,1;8,6;8,6;15;18;17,9;17,2;13,7;13,3;7,3;4,9;11
2016;4,8;4,6;5,4;8,7;14,5;16,8;18,4;17,9;17,3;9,9;5,4;4,7;10,7
2015;4;3,5;6,2;9;12,4;15,6;18,4;18,5;13,4;9,9;9,9;9,6;10,9
2014;5,7;6,5;8,4;12,1;13,2;16,2;19,8;16,1;15,9;13,4;8,2;4,8;11,7
2013;2;1,7;2,5;8,1;11,5;15,3;19,2;18,1;14,4;12,2;6,7;5,9;9,8
2012;4,9;0,8;8,3;8,4;14,5;14,9;17,3;18,5;14,2;10,5;6,8;5;10,3
2011;3,5;4,6;6;13,1;14;16,1;15,9;16,9;15,6;11,4;7,2;6,5;10,9
2010;-0,5;1,6;6,4;9,7;10,5;16,4;19,9;16,8;13,6;10,4;5,8;-1,1;9,1
2009;0,8;3,3;6,3;12,2;13,9;15,6;18,1;18,5;15;10,7;9,5;2,2;10,5
2008;6,5;5,1;5,9;8,9;15,7;16,5;18,1;17,4;13,6;10,1;6,9;2,4;10,6
2007;7,1;6;8;13,1;14,1;17,5;17;17,1;13,8;10,1;6,9;3,8;11,2
2006;1,5;2,9;3,9;9;14,5;16,7;22,3;16,4;17,9;13,6;9,2;6,5;11,2
2005;5,3;2,4;6,5;10,4;12,6;16,8;17,7;16,2;15,7;13,3;6,9;4;10,7
2004;3,6;4,8;5,9;10,4;12,3;15,5;16,7;18,8;15,2;11,3;6,3;3,2;10,3
2003;2,5;1,8;7,3;9,9;13,2;17,8;18,8;19,3;13,9;7,5;8;4;10,3
2002;4,4;7,1;7,2;9,3;13,4;16,5;17,6;18,6;14,6;9,5;7,9;2,9;10,8
2001;2,6;4,5;4,9;8,3;14,1;15,2;18,5;18,5;13,4;14,2;7,1;2,9;10,4
2000;4,3;5,9;6,8;10;14,7;16;15,5;17,4;15,8;11,3;7,8;5,1;10,9
;3,685;3,95;6,36;10,115;13,61;16,47;18,33;17,755;14,81;11,305;7,35;4,48;10,66842105
1999;5,2;3,1;7,3;9,8;14,2;15;19,1;17,5;17,4;10,6;6,7;4,8;10,9
1998;4,7;6,4;7,6;9,4;14,9;15,8;16,3;16,5;15;9,9;3,7;4,6;10,4
1997;-1,2;6,2;8;7,8;12,8;16;17,4;20,5;14,3;9,7;6,7;5;10,3
1996;-0,1;0,6;3,2;9,4;10,7;15,7;16,3;17,3;12,5;10,8;5,9;0,6;8,6
1995;3,8;6,7;5,5;9,2;12,8;14,7;20,1;19,7;14,2;12,7;6,8;-0,9;10,4
1994;5,2;1,5;7,3;8,2;12,4;15;21,4;17,6;13,6;9,4;10,2;5,3;10,6
1993;5,1;2,4;5,8;11,1;14,3;15,9;16,1;15,2;13,1;9;2,2;5,1;9,6
1992;2,7;4,9;6,9;8,7;15,6;17,2;18,3;17,8;14,6;8;8;3,7;10,5
1991;3,2;-0,8;8,8;8,5;10;12,7;19;18;15;10,2;5,3;3,9;9,5
1990;5,7;7,6;8,5;8,9;13,9;15;16,9;18,5;13,1;12;6,2;4,2;10,9
1989;4,5;5,3;8,2;6,9;14,6;15,7;18,1;17,2;15,6;12,4;5,6;4,8;10,7
1988;5,9;4,6;5,1;8,7;14,4;14,8;16;16,6;14;10,9;6,1;7;10,3
1987;-2,7;2,1;2,3;10,7;10,2;13,8;16,8;16,2;14,8;10,8;6,8;4,4;8,9
1986;2,4;-3,6;4,2;6,2;13,3;16,4;17,2;15,6;11,6;11,4;7,9;5,1;9
1985;-3;-0,6;4,1;8,5;13,2;13,7;17,4;15,9;14,4;10,3;2,6;5,7;8,5
1984;3,4;2;4;7,9;10,6;13,8;15,9;18,1;13,5;11,7;8,2;4,3;9,5
1983;6,2;0,9;5,7;8,5;10,6;16,4;20,1;18,1;14,2;10,4;6,1;3,8;10,1
1982;1,1;2,8;5,2;7,6;12,9;16,6;18,9;17,2;15,6;11,1;8,2;3,4;10,1
1981;2,7;1,5;8,1;8,3;13,3;14,4;16,3;16,7;14,7;8,5;6,7;-0,7;9,2
1980;0,2;4,8;4,7;8;12,3;15;15,8;17;15,3;9,4;4,9;3,6;9,3
1979;-3,2;-0,9;4,7;7,8;11,5;14,9;15,9;15,6;13,9;10,9;5,6;5,4;8,5
1978;3;1,1;6,6;6,9;12,1;15;15,4;15,3;13,7;10,9;6,3;1,8;9
1977;3;4,9;7,1;6,7;11,9;14,6;17;16,1;13,4;11,5;6,8;5;9,8
1976;4,2;2,9;3;7,5;13,3;18;19,3;18;13,8;11,2;6,9;1,7;10
1975;6,2;3,1;4,7;7,5;11,1;15,1;17,8;19,9;15,2;8,5;5,2;3,5;9,8
1974;5,2;4,6;5,6;9,1;11,6;14,8;15,4;16,4;12,7;7;6,5;7,3;9,7
1973;2,9;2,9;5,3;6,1;12;16;17;17,7;14,9;8,7;5,1;2,7;9,3
1972;0,5;3,6;6,2;7,7;11,8;13,4;17,2;15,5;11,9;9;6;3,3;8,8
1971;2,3;3,8;2,7;8,1;13,7;13,9;17,2;17,1;13,3;10,5;5,7;5,4;9,5
1970;0,6;1,1;3;6,1;13,1;17,6;15,7;17;14,4;10,7;7,5;2,5;9,1
1969;4,4;-0,1;2,2;7,9;12,9;15,2;18,1;17,7;14,8;12,7;6,4;-1,7;9,2
1968;2,1;1,5;6,2;9,3;11;15,4;16,3;17,1;14,4;11,7;4,9;-0,2;9,1
1967;3,1;5,2;6,8;7,4;12,6;14,4;18,2;16,5;14,2;11,8;5,1;3,4;9,9
1966;0,4;4,3;5,2;8,4;12,9;16,7;15,4;15,7;13,8;11;4,3;4,4;9,4
1965;2,8;2,1;4,3;7,7;11,9;14,7;14,9;15,3;12,8;9,9;2,7;4,5;8,6
1964;0,6;3,5;2,7;8,7;14,3;15,3;16,8;16;14,1;7,9;6,4;2,4;9,1
1963;-5,2;-3,2;4,6;9;11;15,6;16,3;15,2;13,8;9,7;8,3;-1,1;7,8
1962;3,5;2,8;2;8;10;13,7;14,7;15,3;13;10,8;4,2;-0,7;8,1
1961;2;6,3;7,1;10,5;11,1;15,4;15,6;16;16,6;11,4;4,7;1,6;9,9
1960;2,8;3,1;5,6;9,1;13;16,2;15,4;15,8;13,6;10,8;7,6;3,1;9,7
1959;1,7;0,7;7;9,9;13,4;16;18,5;17,8;15,5;11,3;5,1;4,4;10,1
1958;2,1;3,8;2,3;6,4;12,3;14,7;16,6;17,2;15,8;11,1;5,1;4,7;9,3
1957;3,7;5,1;8,4;8,5;10,3;16,3;17,6;15,6;12,9;10,8;6,4;3;9,9
1956;2,2;-6,7;5,4;5,7;12,2;12,8;16,4;14;14,7;9,8;5,1;5,4;8,1
1955;0,1;0,1;1,9;8,4;10;14,3;17,6;17,9;14,3;9,3;6,6;4,6;8,8
1954;0,2;-0,3;5,9;6,7;12,9;15;14,3;15,7;13,4;11,9;6,7;5,5;9
1953;1,3;2,4;4,8;8,5;12,9;15,5;16,8;16,3;13,7;11,3;7,2;5,4;9,7
1952;2,5;2,4;4,9;10,3;13,2;14,8;17,1;16,7;11,5;8,2;3;1,5;8,8
1951;4;3,8;4;7,2;12;15,2;16,7;16,2;15,2;8,7;8,4;4,3;9,6
1950;1;5,5;6,5;7,7;12,8;17,3;17,3;17,1;13,4;9,2;5,9;-1,2;9,4
1949;3,7;3,8;4;10,4;11,3;14,4;17,4;17,1;17,2;11,4;5,2;4,4;10
1948;5,1;3;6,7;10;12,7;15,3;16,6;16,4;14,4;9,7;4,9;3,5;9,9
1947;-1,4;-5,5;3,3;9;15,1;17,5;18,9;19,8;16,8;9,3;7,1;4,2;9,5
1946;0,2;4,6;4,2;10,3;12,9;13,9;17,4;15,7;14,5;9,3;6,5;-0,3;9,1
1945;-1,6;6;7,3;10,2;13,6;16;17,8;16,4;14,5;11,5;4,9;3,2;10
1944;5,2;1,8;3,6;9,5;11,6;14,1;16,9;19,3;13,2;9,5;6,4;2,5;9,5
1943;2,7;4,4;6,4;10,5;13,4;14,4;17,2;16,8;13,4;10,4;4,7;1,3;9,6
1942;-5,1;-4,2;2,7;9,3;12,1;14,4;16;17,9;14,7;11,9;5,6;4,2;8,3
1941;-2,5;1,6;4,7;6,8;9,6;16,8;19,2;15;14,4;9,7;4,1;4,7;8,7
1940;-5,5;-1,3;5,2;9;13,2;16,6;15,8;15,2;12,9;8,8;6,7;0,7;8,1
1939;4,3;3,5;4,5;9,2;12;16,3;17;17,6;15,1;7,6;7,3;1;9,6
1938;4;3,4;7,7;6,9;11,1;15,4;16,1;17,9;15;9,5;8,7;0,4;9,7
1937;2,6;4,8;3,4;8,8;14,2;15,7;16,7;17,4;13,4;10,9;4,6;1,6;9,5
1936;4,7;2,2;6,5;6,2;13;16,5;16,4;16,9;14,1;8,7;5,2;3,3;9,5
1935;2,9;4,3;5;7,9;11;16,5;17,7;17,2;14,1;9,7;7,1;2,6;9,7
1934;2,2;3,4;4,8;10,3;12,1;15,9;17,7;16,2;16;11,3;5,4;7,2;10,2
1933;0,1;2,8;6,8;8,4;12,1;15,5;18,1;17,4;14,8;9,9;3,9;-2,1;9
1932;4;1,5;3,1;7,3;12,2;15;17,5;18,9;14,8;9,3;5,5;3,5;9,4
1931;2,6;1,2;2,4;7,3;13,6;15,3;16,6;15,8;11,6;8,9;6,7;3,3;8,8
1930;4,7;1,6;4,8;8,9;11,7;17,8;16,2;16,6;14;10,3;7,3;2,2;9,7
1929;-1,4;-5,4;3,6;5,5;12,7;13,8;17,2;16,2;16;10,2;6,1;5,2;8,3
1928;3,6;4,8;4,5;8,3;10,9;14;17,2;16,1;12,7;9,8;7,7;2,3;9,3
1927;3,9;2,8;6,6;7,8;11,4;13,2;17,1;16,9;14,1;10,4;4,1;-1,2;8,9
1926;2,2;6,3;5,8;10;10,7;13,9;17,8;16,5;15,4;8;6,7;2,9;9,7
1925;3,8;4,8;3,6;8,1;13,8;15,2;18,4;16,3;11,8;9,8;2,8;1,4;9,2
1924;0,1;0,4;3,3;6,6;13,3;14,9;16,3;14,4;14;10,6;5;3,8;8,6
1923;4;3;6,5;7,8;10,3;11,6;18,9;15,8;13;10,7;2,9;0,4;8,7
1922;0,4;1,7;4,2;6,1;13,4;15,2;15,1;14,9;12,6;6,5;4,9;4,6;8,3
1921;6,2;3,1;6,7;8,8;13,4;14,8;18,1;16,9;14;12,7;1,3;3,2;9,9
1920;4,2;5,4;7,3;9,3;12,9;15,8;16,2;14,1;13,2;8,2;3,2;2,1;9,3
1919;1,9;0,3;4,1;6,3;13,8;14,4;13,9;16;14,4;7;1,8;3,7;8,1
1918;2,8;4;4,6;8,3;13,9;13,5;16,2;15,9;13,1;9,3;4,3;5,8;9,3
1917;-0,7;-1,5;1,9;4,6;14,7;18,3;16,7;16,2;14,6;8,1;7,3;0;8,4
1916;6;2,7;4,4;8,8;13,1;12,2;15,3;16,4;13,3;10,3;5,9;2,6;9,3
1915;3,2;3,1;4,1;7,5;12,4;15,7;15,6;15,6;13,1;7,6;2,9;5,2;8,8
1914;-0,1;5,6;6;10,1;11,6;14,3;17,9;17,4;13,7;10;5,1;5;9,7
1913;2,3;3,4;7;8,7;12,7;14,3;14,8;15,3;13,9;11;8,4;4,2;9,7
1912;2;4;7,5;8,7;11,7;15,2;18,4;14,1;10,7;7,9;5,5;5,4;9,3
1911;1,2;3,5;5,1;7,2;14;14,8;18,6;19,4;14,5;9,5;5,9;5,2;9,9
1910;3,5;4;5,2;7,9;12,7;16,4;15,3;16,1;13,4;10,3;3,4;5,7;9,5
1909;0,8;0,6;3;8,6;11,3;13,2;14,8;16,3;13,2;11,1;4,5;3,2;8,4
1908;-1,2;3,7;3,6;6,1;13,1;16,3;16,7;15,3;13,6;9,9;4,5;1,1;8,6
1907;1,7;0,7;4,7;7,6;12,6;13,7;13,9;15,2;13,7;11,3;5,8;3,1;8,7
1906;3,6;2,4;4;7,6;12,5;14,3;17;16,9;13,4;11,8;7,9;0,2;9,3
1905;1,3;3,6;6;6,6;11,9;16,9;18;16;12,9;6,5;3,8;2,3;8,8
1904;0,7;3;3,7;9,7;12,1;14,4;18;16;12,4;9,2;5,5;4;9,1
1903;2,9;5,6;7,1;5,6;12,8;14,3;15,6;15,3;14,4;11,1;5,7;0,8;9,3
1902;4,6;-0,4;5,2;8,5;9,4;15,8;15,5;14,8;13,1;8,6;3,7;0,8;8,3
1901;-0,3;-0,9;3,5;9,1;12,2;14,7;18,7;16,7;14,7;10,3;5,3;2,9;8,9
;2,132323232;2,474747475;5,122222222;8,213131313;12,44040404;15,14949495;16,95252525;16,62020202;14,01010101;10,02727273;5,658585859;3,1;9,33030303